Locus	Name	Definition	MolType	MolStruct	Taxonomy	DB_origin	Length	prophage	nb_prot	GC	nb_PhROGs	nb_Sing	nb_Paralog	Host name	Superkingdom	phylum	class	order	family	genus	species	Full taxo	Full taxo with lvl
KJ019036	Synechococcus phage ACG-2014d	Synechococcus phage ACG-2014d isolate Syn7803C57, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	179107	undef	218	40.28	203	0	15	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019078	Synechococcus phage ACG-2014d	Synechococcus phage ACG-2014d isolate Syn7803US114, complete	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	179107	undef	218	40.27	204	0	14	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019075	Synechococcus phage ACG-2014d	Synechococcus phage ACG-2014d isolate Syn7803US111, complete	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	179101	undef	217	40.26	203	0	14	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019047	Synechococcus phage ACG-2014d	Synechococcus phage ACG-2014d isolate Syn7803C73, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	179095	undef	218	40.27	204	0	14	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019115	Synechococcus phage ACG-2014d	Synechococcus phage ACG-2014d isolate Syn7803US61, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	179043	undef	217	40.27	203	0	14	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019073	Synechococcus phage ACG-2014d	Synechococcus phage ACG-2014d isolate Syn7803US109, complete	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	178993	undef	218	40.27	204	0	14	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019080	Synechococcus phage ACG-2014d	Synechococcus phage ACG-2014d isolate Syn7803US116, complete	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	178897	undef	218	40.26	204	0	14	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019048	Synechococcus phage ACG-2014d	Synechococcus phage ACG-2014d isolate Syn7803C75, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	178873	undef	218	40.27	204	0	14	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
NC_021072	Cyanophage Syn30	Cyanophage Syn30 genomic sequence.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA phages	REFSEQ	178807	undef	209	39.94	186	6	17	Synechococcus sp.	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	Synechococcus sp.	1;131567;2;1117;1301283;1118;1129;1131	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus;Synechococcus sp.|species
NC_015569	Synechococcus phage S-CRM01	Synechococcus phage S-CRM01, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae	REFSEQ	178563	undef	297	39.74	113	181	3	Synechococcus sp.	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	Synechococcus sp.	1;131567;2;1117;1301283;1118;1129;1131	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus;Synechococcus sp.|species
NC_008296	Synechococcus phage syn9	Synechococcus phage syn9, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	REFSEQ	177300	undef	226	40.63	190	19	17	Synechococcus sp.	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	Synechococcus sp.	1;131567;2;1117;1301283;1118;1129;1131	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus;Synechococcus sp.|species
KX349324	Cyanophage S-RIM12	Cyanophage S-RIM12 isolate W1_12_0610, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae	BACT_NUCCORE_ENPLUS	176285	undef	214	39.55	202	0	12	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
NC_015289	Synechococcus phage S-SSM5	Synechococcus phage S-SSM5, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae	REFSEQ	176184	undef	225	39.96	197	11	17	Synechococcus sp.	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	Synechococcus sp.	1;131567;2;1117;1301283;1118;1129;1131	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus;Synechococcus sp.|species
KX349311	Cyanophage S-RIM12	Cyanophage S-RIM12 isolate RW_04_0310, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae	BACT_NUCCORE_ENPLUS	176183	undef	213	39.54	200	0	13	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019128	Synechococcus phage ACG-2014c	Synechococcus phage ACG-2014c isolate Syn7803US88, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	176140	undef	214	39.1	196	0	18	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KF156339	Synechococcus phage S-MbCM25	Synechococcus phage S-MbCM25, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	PVOG	176044	undef	215	39.09	197	0	18	Synechococcus sp.	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	Synechococcus sp.	1;131567;2;1117;1301283;1118;1129;1131	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus;Synechococcus sp.|species
NC_019444	Synechococcus phage ACG-2014c	Synechococcus phage S-MbCM6, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	REFSEQ	176043	undef	225	39.11	193	14	18	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019027	Synechococcus phage ACG-2014c	Synechococcus phage ACG-2014c isolate Syn7803C43, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	176034	undef	216	39.1	197	1	18	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KX349230	Synechococcus phage S-RIM2	Synechococcus phage S-RIM2 isolate LIS_02_1013, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae	BACT_NUCCORE_ENPLUS	175777	undef	215	42.16	198	1	16	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KX349274	Synechococcus phage S-RIM2	Synechococcus phage S-RIM2 isolate W1_03_0709, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae	BACT_NUCCORE_ENPLUS	175648	undef	216	42.16	200	0	16	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019064	Synechococcus phage ACG-2014c	Synechococcus phage ACG-2014c isolate Syn7803C98, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	175640	undef	215	39.07	197	0	18	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KX349323	Cyanophage S-RIM12	Cyanophage S-RIM12 isolate W1_08_0910, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae	BACT_NUCCORE_ENPLUS	175559	undef	215	39.51	202	0	13	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KX349313	Cyanophage S-RIM12	Cyanophage S-RIM12 isolate RW_06_0310, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae	BACT_NUCCORE_ENPLUS	175557	undef	215	39.52	202	0	13	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KX349246	Synechococcus phage S-RIM2	Synechococcus phage S-RIM2 isolate Np_15_0709, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae	BACT_NUCCORE_ENPLUS	175455	undef	214	42.17	198	0	16	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KX349282	Synechococcus phage S-RIM2	Synechococcus phage S-RIM2 isolate W2_14_0910, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae	BACT_NUCCORE_ENPLUS	175448	undef	214	42.15	198	0	16	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KX349233	Synechococcus phage S-RIM2	Synechococcus phage S-RIM2 isolate LIS_11_1010, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae	BACT_NUCCORE_ENPLUS	175447	undef	214	42.16	198	0	16	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KX349263	Synechococcus phage S-RIM2	Synechococcus phage S-RIM2 isolate RW_14_1112, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae	BACT_NUCCORE_ENPLUS	175444	undef	214	42.14	198	0	16	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KX349243	Synechococcus phage S-RIM2	Synechococcus phage S-RIM2 isolate Np_11_1112, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae	BACT_NUCCORE_ENPLUS	175442	undef	214	42.15	198	0	16	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KX349244	Synechococcus phage S-RIM2	Synechococcus phage S-RIM2 isolate Np_12_0912, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae	BACT_NUCCORE_ENPLUS	175441	undef	214	42.15	198	0	16	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KX349254	Synechococcus phage S-RIM2	Synechococcus phage S-RIM2 isolate Np_36_1112, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae	BACT_NUCCORE_ENPLUS	175441	undef	214	42.14	198	0	16	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KX349235	Synechococcus phage S-RIM2	Synechococcus phage S-RIM2 isolate LIS_14_1013, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae	BACT_NUCCORE_ENPLUS	175440	undef	214	42.14	198	0	16	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KX349242	Synechococcus phage S-RIM2	Synechococcus phage S-RIM2 isolate Np_06_0912, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae	BACT_NUCCORE_ENPLUS	175440	undef	214	42.16	198	0	16	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KX349281	Synechococcus phage S-RIM2	Synechococcus phage S-RIM2 isolate W2_13_0910, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae	BACT_NUCCORE_ENPLUS	175440	undef	214	42.16	198	0	16	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KX349231	Synechococcus phage S-RIM2	Synechococcus phage S-RIM2 isolate LIS_06_1010, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae	BACT_NUCCORE_ENPLUS	175439	undef	216	42.15	200	0	16	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KX349241	Synechococcus phage S-RIM2	Synechococcus phage S-RIM2 isolate Np_04_1112, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae	BACT_NUCCORE_ENPLUS	175439	undef	214	42.16	198	0	16	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KX349271	Synechococcus phage S-RIM2	Synechococcus phage S-RIM2 isolate Sn_25_0709, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae	BACT_NUCCORE_ENPLUS	175439	undef	214	42.16	198	0	16	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KX349250	Synechococcus phage S-RIM2	Synechococcus phage S-RIM2 isolate Np_23_1112, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae	BACT_NUCCORE_ENPLUS	175438	undef	214	42.14	198	0	16	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KX349253	Synechococcus phage S-RIM2	Synechococcus phage S-RIM2 isolate Np_33_0912, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae	BACT_NUCCORE_ENPLUS	175438	undef	214	42.15	198	0	16	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KX349270	Synechococcus phage S-RIM2	Synechococcus phage S-RIM2 isolate RW_40_1112, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae	BACT_NUCCORE_ENPLUS	175438	undef	214	42.16	198	0	16	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KX349247	Synechococcus phage S-RIM2	Synechococcus phage S-RIM2 isolate Np_15_1112, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae	BACT_NUCCORE_ENPLUS	175437	undef	214	42.17	198	0	16	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KX349268	Synechococcus phage S-RIM2	Synechococcus phage S-RIM2 isolate RW_30_0905, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae	BACT_NUCCORE_ENPLUS	175437	undef	214	42.15	198	0	16	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KX349249	Synechococcus phage S-RIM2	Synechococcus phage S-RIM2 isolate Np_20_0912, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae	BACT_NUCCORE_ENPLUS	175436	undef	214	42.14	198	0	16	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KX349260	Synechococcus phage S-RIM2	Synechococcus phage S-RIM2 isolate RW_11_0905, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae	BACT_NUCCORE_ENPLUS	175436	undef	214	42.15	198	0	16	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KX349279	Synechococcus phage S-RIM2	Synechococcus phage S-RIM2 isolate W1_16_0709, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae	BACT_NUCCORE_ENPLUS	175436	undef	214	42.16	198	0	16	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KX349256	Synechococcus phage S-RIM2	Synechococcus phage S-RIM2 isolate RW_02_0113, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae	BACT_NUCCORE_ENPLUS	175435	undef	214	42.16	198	0	16	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KX349267	Synechococcus phage S-RIM2	Synechococcus phage S-RIM2 isolate RW_29_1112, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae	BACT_NUCCORE_ENPLUS	175435	undef	214	42.17	198	0	16	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KX349269	Synechococcus phage S-RIM2	Synechococcus phage S-RIM2 isolate RW_34_0905, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae	BACT_NUCCORE_ENPLUS	175435	undef	214	42.15	198	0	16	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KX349239	Synechococcus phage S-RIM2	Synechococcus phage S-RIM2 isolate Np_03_0709, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae	BACT_NUCCORE_ENPLUS	175434	undef	214	42.16	198	0	16	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KX349264	Synechococcus phage S-RIM2	Synechococcus phage S-RIM2 isolate RW_16_0905, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae	BACT_NUCCORE_ENPLUS	175434	undef	214	42.15	198	0	16	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
